# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05367e-05 to 105.476 h/Mpc,
# number of wavenumbers equal to 132
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_m                    6:d_ur                   7:d_ncdm[0]              8:d_tot                  9:phi                   10:psi                
       1.217498832190e-01       2.178579993696e-02      -1.389138392106e+04      -1.395777175463e+04      -1.388536676380e+04       2.222791827452e-02      -9.319461593825e+01      -1.388297235815e+04       4.986166381520e-02       4.986166380634e-02 
       1.258677727047e-01       2.111273576607e-02      -1.439428938528e+04      -1.445607265680e+04      -1.438212743380e+04       2.154120092884e-02      -9.054050999263e+01      -1.437964741498e+04       4.832151648062e-02       4.832151647257e-02 
       1.301125644413e-01       2.041475834304e-02      -1.487741126103e+04      -1.493623930146e+04      -1.486058134018e+04       2.082906380145e-02      -8.778113999818e+01      -1.485801886492e+04       4.672441181921e-02       4.672441181191e-02 
       1.344904184695e-01       1.966662096821e-02      -1.531426803511e+04      -1.537282974665e+04      -1.529524032612e+04       2.006573628620e-02      -8.477181545625e+01      -1.529260294587e+04       4.501115243790e-02       4.501115243131e-02 
       1.390074820529e-01       1.885665452652e-02      -1.568510431155e+04      -1.574672630752e+04      -1.566697426851e+04       1.923933146876e-02      -8.145946266822e+01      -1.566427283283e+04       4.315740207091e-02       4.315740206498e-02 
       1.436699010599e-01       1.799303353408e-02      -1.598276209677e+04      -1.605077821878e+04      -1.596866355346e+04       1.835817302458e-02      -7.788383693270e+01      -1.596591013905e+04       4.117973071834e-02       4.117973071303e-02 
       1.484838293072e-01       1.710005985033e-02      -1.621715757448e+04      -1.629414523442e+04      -1.620954360368e+04       1.744706196223e-02      -7.416762748395e+01      -1.620674869434e+04       3.913442755584e-02       3.913442755111e-02 
       1.534554369336e-01       1.621398162306e-02      -1.641617781035e+04      -1.650323123585e+04      -1.641612836704e+04       1.654300100079e-02      -7.045829448489e+01      -1.641329787467e+04       3.710673101425e-02       3.710673101004e-02 
       1.585909187897e-01       1.537794080571e-02      -1.662170774676e+04      -1.671796257349e+04      -1.662846685035e+04       1.568998010972e-02      -6.695267339115e+01      -1.662559978153e+04       3.519184980219e-02       3.519184979845e-02 
       1.638965037813e-01       1.462616219984e-02      -1.688071926130e+04      -1.698333985327e+04      -1.689166126864e+04       1.492294888357e-02      -6.379666189224e+01      -1.688874885364e+04       3.347183345174e-02       3.347183344841e-02 
       1.693784660713e-01       1.397975903281e-02      -1.723153414060e+04      -1.733628832363e+04      -1.724268612012e+04       1.426342142464e-02      -6.107130417841e+01      -1.723971321460e+04       3.199153276205e-02       3.199153275906e-02 
       1.750431390264e-01       1.343464056249e-02      -1.769017305099e+04      -1.779255260879e+04      -1.769725775843e+04       1.370724411233e-02      -5.876791571593e+01      -1.769420650886e+04       3.074413704127e-02       3.074413703857e-02 
       1.808969327795e-01       1.296509974047e-02      -1.824051881483e+04      -1.833715817013e+04      -1.824029295830e+04       1.322818021917e-02      -5.681471873770e+01      -1.823714811214e+04       2.966988886256e-02       2.966988886013e-02 
       1.869463562733e-01       1.253109714793e-02      -1.883730513054e+04      -1.892722911594e+04      -1.882873989791e+04       1.278537581139e-02      -5.497812170808e+01      -1.882549362551e+04       2.867700308276e-02       2.867700308055e-02 
       1.931980446425e-01       1.208709597651e-02      -1.941202733778e+04      -1.949725228511e+04      -1.939691909624e+04       1.233237019787e-02      -5.311203508473e+01      -1.939357489185e+04       2.766137840022e-02       2.766137839823e-02 
       1.996587927967e-01       1.159905337303e-02      -1.989714410560e+04      -1.998221231468e+04      -1.987971792705e+04       1.183442705982e-02      -5.101853890311e+01      -1.987629051065e+04       2.654482415117e-02       2.654482414938e-02 
       2.063355960823e-01       1.106122667768e-02      -2.026123809685e+04      -2.035160750533e+04      -2.024663095699e+04       1.128568114428e-02      -4.871742235164e+01      -2.024314030753e+04       2.531342842196e-02       2.531342842036e-02 
       2.132356989277e-01       1.049454264142e-02      -2.052334511833e+04      -2.062317290217e+04      -2.051551381830e+04       1.070749544566e-02      -4.627888830988e+01      -2.051197683596e+04       2.401646518346e-02       2.401646518204e-02 
       2.203666524431e-01       9.938475737409e-03      -2.074925667959e+04      -2.085948848741e+04      -2.074915988522e+04       1.014013920629e-02      -4.387308744976e+01      -2.074558264407e+04       2.274339451532e-02       2.274339451405e-02 
       2.277363820377e-01       9.432104832735e-03      -2.102598729421e+04      -2.114374631790e+04      -2.103097601858e+04       9.623491394696e-03      -4.167721537761e+01      -2.102735021304e+04       2.158445616629e-02       2.158445616516e-02 
       2.353532662697e-01       8.997654050892e-03      -2.142161611103e+04      -2.154144335705e+04      -2.142656251435e+04       9.180224117656e-03      -3.979857148219e+01      -2.142286852941e+04       2.059010488753e-02       2.059010488652e-02 
       2.432262283630e-01       8.629846547219e-03      -2.194868890483e+04      -2.206528206859e+04      -2.194854061699e+04       8.804954067419e-03      -3.820284100659e+01      -2.194475666206e+04       1.974837450175e-02       1.974837450084e-02 
       2.513648421297e-01       8.298891939067e-03      -2.255096270076e+04      -2.266209389573e+04      -2.254350737191e+04       8.467288892836e-03      -3.675448752109e+01      -2.253962086341e+04       1.899148541933e-02       1.899148541852e-02 
       2.597794544632e-01       7.967032115719e-03      -2.312788450796e+04      -2.323577526540e+04      -2.311510625798e+04       8.128694936213e-03      -3.533187508570e+01      -2.311112122425e+04       1.823193692345e-02       1.823193692272e-02 
       2.684813271321e-01       7.608985560559e-03      -2.359299435076e+04      -2.370303280246e+04      -2.357993027159e+04       7.763382316393e-03      -3.374835081434e+01      -2.357586512017e+04       1.741248923811e-02       1.741248923745e-02 
       2.774828013683e-01       7.227689702246e-03      -2.393377472601e+04      -2.405105081641e+04      -2.392526744871e+04       7.374348053463e-03      -3.209620408245e+01      -2.392114277844e+04       1.653983515802e-02       1.653983515744e-02 
       2.867974897405e-01       6.850523848750e-03      -2.422702926351e+04      -2.435286576418e+04      -2.422440561312e+04       6.989526486348e-03      -3.043934531373e+01      -2.422022938801e+04       1.567649450314e-02       1.567649450262e-02 
       2.964405011404e-01       6.507986655073e-03      -2.458652654117e+04      -2.471758792512e+04      -2.458668188921e+04       6.640038551217e-03      -2.893570529750e+01      -2.458244322386e+04       1.489262866754e-02       1.489262866708e-02 
       3.064287064602e-01       6.210905941184e-03      -2.507408849282e+04      -2.520507165123e+04      -2.507198456699e+04       6.336929257884e-03      -2.762887597625e+01      -2.506766225166e+04       1.421269159662e-02       1.421269159621e-02 
       3.167810548881e-01       5.943359780714e-03      -2.564812792581e+04      -2.577613673749e+04      -2.564093914576e+04       6.063957066127e-03      -2.645510228518e+01      -2.563651875885e+04       1.360072447971e-02       1.360072447934e-02 
       3.275189538917e-01       5.678794417642e-03      -2.619920413234e+04      -2.632612933204e+04      -2.618862527723e+04       5.794023681858e-03      -2.527743467845e+01      -2.618411048509e+04       1.299530094921e-02       1.299530094888e-02 
       3.386667302257e-01       5.402567312218e-03      -2.664910820390e+04      -2.677966031878e+04      -2.663955878593e+04       5.512191038464e-03      -2.407653963278e+01      -2.663496626788e+04       1.236313109503e-02       1.236313109474e-02 
       3.502521951526e-01       5.123269047188e-03      -2.702596523600e+04      -2.716298721219e+04      -2.702016622464e+04       5.227224633573e-03      -2.283474118224e+01      -2.701550810415e+04       1.172391877658e-02       1.172391877632e-02 
       3.623073452076e-01       4.861091126838e-03      -2.743612526151e+04      -2.757785978097e+04      -2.743244811558e+04       4.959726218936e-03      -2.166552612183e+01      -2.742771893177e+04       1.112389306220e-02       1.112389306197e-02 
       3.748692413180e-01       4.624935261138e-03      -2.794647842797e+04      -2.808891699820e+04      -2.794109954933e+04       4.718779036374e-03      -2.062959021609e+01      -2.793628268840e+04       1.058352632439e-02       1.058352632419e-02 
       3.879811255521e-01       4.403702288158e-03      -2.850672715797e+04      -2.864851109588e+04      -2.849827914903e+04       4.493057481929e-03      -1.966348906439e+01      -2.849336624483e+04       1.007729460595e-02       1.007729460576e-02 
       4.016938587649e-01       4.182219623381e-03      -2.902098941432e+04      -2.916481409148e+04      -2.901194762598e+04       4.267080768238e-03      -1.866399202341e+01      -2.900694617928e+04       9.570464501180e-03       9.570464501018e-03 
       4.160677980513e-01       3.960096112991e-03      -2.947917738298e+04      -2.962776797479e+04      -2.947208772050e+04       4.040449588919e-03      -1.767616530901e+01      -2.946700695895e+04       9.062107472363e-03       9.062107472220e-03 
       4.311752869293e-01       3.747716761214e-03      -2.996007128442e+04      -3.011243692393e+04      -2.995399788828e+04       3.823761367076e-03      -1.673372910753e+01      -2.994883405866e+04       8.576174102857e-03       8.576174102731e-03 
