# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.06666e-05 to 106.777 h/Mpc,
# number of wavenumbers equal to 132
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_m                    6:d_ur                   7:d_ncdm[0]              8:d_tot                  9:phi                   10:psi                
       6.518887619799e-02       3.937629934373e-02      -8.108941439818e+03      -8.141267892784e+03      -8.101154709906e+03       4.039372519891e-02      -1.800657768328e+02      -8.099794621896e+03       1.046447283121e-01       1.046447282518e-01 
       6.848681793437e-02       3.776307029652e-02      -8.585753775899e+03      -8.616762059728e+03      -8.574766860506e+03       3.873876868960e-02      -1.742964091323e+02      -8.573327395441e+03       1.003519373047e-01       1.003519372519e-01 
       7.169975834612e-02       3.622655880460e-02      -9.028754558735e+03      -9.059442996432e+03      -9.015543555613e+03       3.716253722725e-02      -1.685740462184e+02      -9.014030218560e+03       9.626622649841e-02       9.626622645186e-02 
       7.486853755750e-02       3.472013644565e-02      -9.435047256231e+03      -9.466657627519e+03      -9.420802072169e+03       3.561715240075e-02      -1.627090656758e+02      -9.419220819689e+03       9.225854386938e-02       9.225854382821e-02 
       7.802189721154e-02       3.321837044810e-02      -9.802188634734e+03      -9.836099132218e+03      -9.788222899926e+03       3.407655719817e-02      -1.566735903233e+02      -9.786580078344e+03       8.826494468742e-02       8.826494465096e-02 
       8.118125546523e-02       3.171541401008e-02      -1.012923623879e+04      -1.016684181705e+04      -1.011688168500e+04       3.253472006538e-02      -1.504860739995e+02      -1.011518379578e+04       8.426603510780e-02       8.426603507548e-02 
       8.436335601443e-02       3.021499657896e-02      -1.041768701361e+04      -1.046026833708e+04      -1.040817402844e+04       3.099550302747e-02      -1.441501268581e+02      -1.040642733871e+04       8.027573025268e-02       8.027573022403e-02 
       8.758183571814e-02       2.873144400592e-02      -1.067206506801e+04      -1.072065093491e+04      -1.066639567043e+04       2.947360243743e-02      -1.377461100382e+02      -1.066460572636e+04       7.633206607540e-02       7.633206605002e-02 
       9.084820148987e-02       2.728646862842e-02      -1.090027351304e+04      -1.095550653131e+04      -1.089909550155e+04       2.799126361577e-02      -1.314334878297e+02      -1.089726658249e+04       7.248951683545e-02       7.248951681296e-02 
       9.417246524382e-02       2.590291969151e-02      -1.111360765171e+04      -1.117562919981e+04      -1.111710416874e+04       2.657195100093e-02      -1.253301473287e+02      -1.111523873661e+04       6.881152947696e-02       6.881152945702e-02 
       9.756357115125e-02       2.460555434414e-02      -1.132619024464e+04      -1.139456028741e+04      -1.133400073400e+04       2.524104498928e-02      -1.195145301298e+02      -1.133209897252e+04       6.536199120322e-02       6.536199118551e-02 
       1.010296915047e-01       2.341475833450e-02      -1.155392713093e+04      -1.162760073083e+04      -1.156512058220e+04       2.401947561058e-02      -1.141832995060e+02      -1.156318010235e+04       6.219701270781e-02       6.219701269204e-02 
       1.045784364873e-01       2.234560094749e-02      -1.181283110572e+04      -1.189020810323e+04      -1.182594607335e+04       2.292270132007e-02      -1.093650707644e+02      -1.182396188888e+04       5.935660048522e-02       5.935660047113e-02 
       1.082170057681e-01       2.140547902503e-02      -1.211688295623e+04      -1.219594407539e+04      -1.213004946636e+04       2.195828555286e-02      -1.051139885165e+02      -1.212801431460e+04       5.685765706009e-02       5.685765704745e-02 
       1.119522997119e-01       2.058907097683e-02      -1.247575743670e+04      -1.255428922348e+04      -1.248690223234e+04       2.112080208310e-02      -1.014427893870e+02      -1.248480726215e+04       5.468976878805e-02       5.468976877666e-02 
       1.157910018733e-01       1.988255742666e-02      -1.289235704350e+04      -1.296825368493e+04      -1.289948309310e+04       2.039604466350e-02      -9.825662754296e+01      -1.289731895438e+04       5.281291009953e-02       5.281291008922e-02 
       1.197396406518e-01       1.926079203939e-02      -1.336103546886e+04      -1.343264875878e+04      -1.336254962361e+04       1.975821465628e-02      -9.545541133496e+01      -1.336030784626e+04       5.116003634631e-02       5.116003633695e-02 
       1.238046355627e-01       1.868928505493e-02      -1.386683464273e+04      -1.393331821918e+04      -1.386187370029e+04       1.917196926713e-02      -9.289468524922e+01      -1.385954820171e+04       4.964385969475e-02       4.964385968624e-02 
       1.279923320179e-01       1.813317270641e-02      -1.438607124054e+04      -1.444765473970e+04      -1.437476714019e+04       1.860150191530e-02      -9.034872807826e+01      -1.437235564411e+04       4.816708101497e-02       4.816708100723e-02 
       1.323090274757e-01       1.755757044516e-02      -1.488946483257e+04      -1.494757642233e+04      -1.487307121812e+04       1.801103431744e-02      -8.769861370013e+01      -1.487057617207e+04       4.663791398440e-02       4.663791397736e-02 
       1.367609911353e-01       1.693556812727e-02      -1.534698647412e+04      -1.540416178789e+04      -1.532780629498e+04       1.737296688079e-02      -8.480040114846e+01      -1.532523500772e+04       4.498554001612e-02       4.498554000976e-02 
       1.413544788970e-01       1.625399509245e-02      -1.573446005747e+04      -1.579398996195e+04      -1.571552803677e+04       1.667378449977e-02      -8.156986263223e+01      -1.571289174944e+04       4.317449275096e-02       4.317449274523e-02 
       1.460957450055e-01       1.551601173611e-02      -1.604038756688e+04      -1.610572108667e+04      -1.602491993508e+04       1.591673134423e-02      -7.802895371903e+01      -1.602223178662e+04       4.121337182930e-02       4.121337182418e-02 
       1.509910515930e-01       1.474215353286e-02      -1.627137371702e+04      -1.634535475228e+04      -1.626205625674e+04       1.512286114143e-02      -7.428077202671e+01      -1.625932836662e+04       3.915529075698e-02       3.915529075241e-02 
       1.560466772115e-01       1.396423592200e-02      -1.645433683836e+04      -1.653843556686e+04      -1.645259878818e+04       1.432484780664e-02      -7.049121972942e+01      -1.644983897089e+04       3.708880751440e-02       3.708880751034e-02 
       1.612689253600e-01       1.322254425817e-02      -1.663337753732e+04      -1.672712959709e+04      -1.663885147624e+04       1.356399881298e-02      -6.687021073630e+01      -1.663606044997e+04       3.511877631412e-02       3.511877631052e-02 
       1.666641339599e-01       1.255386632045e-02      -1.686088559839e+04      -1.696176247106e+04      -1.687126357363e+04       1.287803709471e-02      -6.359382758562e+01      -1.686843359430e+04       3.334116141608e-02       3.334116141287e-02 
       1.722386867019e-01       1.197953079440e-02      -1.718336903243e+04      -1.728723658607e+04      -1.719480838325e+04       1.228887756789e-02      -6.076929687167e+01      -1.719192416341e+04       3.181656888458e-02       3.181656888171e-02 
       1.779990271650e-01       1.150299585505e-02      -1.762510235358e+04      -1.772727068946e+04      -1.763319353834e+04       1.180003153777e-02      -5.844103404619e+01      -1.763023581438e+04       3.055013476568e-02       3.055013476310e-02 
       1.839516765962e-01       1.110277472986e-02      -1.817621128003e+04      -1.827286560962e+04      -1.817731347078e+04       1.138948181101e-02      -5.650323669049e+01      -1.817426450694e+04       2.948761239925e-02       2.948761239691e-02 
       1.901032562290e-01       1.074408706220e-02      -1.879404185907e+04      -1.888360247109e+04      -1.878655385443e+04       1.102153895486e-02      -5.472919968766e+01      -1.878340272774e+04       2.853549585685e-02       2.853549585473e-02 
       1.964605150159e-01       1.038117157041e-02      -1.940108095363e+04      -1.948503831386e+04      -1.938628659291e+04       1.064925308701e-02      -5.297845739631e+01      -1.938303489804e+04       2.757156930742e-02       2.757156930550e-02 
       2.030303636515e-01       9.978564409226e-03      -1.991949071704e+04      -2.000214838534e+04      -1.990134637259e+04       1.023624677384e-02      -5.096744044701e+01      -1.989800831162e+04       2.650195345442e-02       2.650195345269e-02 
       2.098199157769e-01       9.524522879479e-03      -2.030394632718e+04      -2.039096913122e+04      -2.028773565976e+04       9.770481820207e-03      -4.869825639618e+01      -2.028433281408e+04       2.529633326759e-02       2.529633326604e-02 
       2.168365372891e-01       9.034887648128e-03      -2.056298757754e+04      -2.065916098353e+04      -2.055322773858e+04       9.268198431486e-03      -4.625535345221e+01      -2.054978038536e+04       2.399565013710e-02       2.399565013573e-02 
       2.240879047385e-01       8.544913334497e-03      -2.076154473849e+04      -2.086861577586e+04      -2.075994919166e+04       8.765564634889e-03      -4.380089640591e+01      -2.075646718743e+04       2.269378143563e-02       2.269378143441e-02 
       2.315820738941e-01       8.094141707064e-03      -2.099739509256e+04      -2.111307438634e+04      -2.100190236926e+04       8.303150102315e-03      -4.152936184205e+01      -2.099837980382e+04       2.149642158696e-02       2.149642158588e-02 
       2.393275597113e-01       7.709189352246e-03      -2.135784735912e+04      -2.147670546360e+04      -2.136341019890e+04       7.908256767541e-03      -3.958062790682e+01      -2.135982701917e+04       2.047399380893e-02       2.047399380796e-02 
       2.473334291509e-01       7.390877208790e-03      -2.187363512526e+04      -2.198975485477e+04      -2.187466750498e+04       7.581727456312e-03      -3.796939098489e+01      -2.187099859378e+04       1.962877677727e-02       1.962877677640e-02 
       2.556094086166e-01       7.113957555894e-03      -2.249478152663e+04      -2.260497311187e+04      -2.248817803167e+04       7.297662057244e-03      -3.658935808921e+01      -2.248440623844e+04       1.889374340753e-02       1.889374340675e-02 
       2.641660081971e-01       6.840748873920e-03      -2.310944353759e+04      -2.321518518865e+04      -2.309645896804e+04       7.017398652577e-03      -3.521642297677e+01      -2.309258516968e+04       1.816807638597e-02       1.816807638526e-02 
       2.730146654810e-01       6.542008327965e-03      -2.360682584380e+04      -2.371349517959e+04      -2.359243325395e+04       6.710944383071e-03      -3.369343829131e+01      -2.358847628650e+04       1.737473522723e-02       1.737473522660e-02 
       2.821679124751e-01       6.215156423567e-03      -2.395191567580e+04      -2.406539702051e+04      -2.394166138436e+04       6.375650498260e-03      -3.202582287692e+01      -2.393764585984e+04       1.650655513912e-02       1.650655513856e-02 
       2.916395701736e-01       5.884230689447e-03      -2.421737396818e+04      -2.434006441755e+04      -2.421359438989e+04       6.036175114287e-03      -3.035029023152e+01      -2.420953327172e+04       1.562729380752e-02       1.562729380702e-02 
       3.014449766709e-01       5.581158114794e-03      -2.453649051629e+04      -2.466560103124e+04      -2.453663796280e+04       5.725275458370e-03      -2.880793695751e+01      -2.453252267814e+04       1.482232617437e-02       1.482232617393e-02 
       3.116012564853e-01       5.321972387346e-03      -2.500170939137e+04      -2.513147094496e+04      -2.500036052410e+04       5.459397418874e-03      -2.747850465286e+01      -2.499616747784e+04       1.413400642187e-02       1.413400642148e-02 
       3.221276411317e-01       5.095595284519e-03      -2.558801146486e+04      -2.571440595196e+04      -2.558130469771e+04       5.227174382237e-03      -2.631907205973e+01      -2.557701422926e+04       1.353268955492e-02       1.353268955456e-02 
       3.330458541616e-01       4.874951108213e-03      -2.617241933008e+04      -2.629655356083e+04      -2.616128144374e+04       5.000835455717e-03      -2.520465832716e+01      -2.615689371510e+04       1.294697658341e-02       1.294697658309e-02 
       3.443805781970e-01       4.641374267562e-03      -2.664291079698e+04      -2.676981714674e+04      -2.663201396016e+04       4.761226802656e-03      -2.399559829003e+01      -2.662754729330e+04       1.232662321630e-02       1.232662321602e-02 
       3.561600273992e-01       4.399333067550e-03      -2.700631273659e+04      -2.713994875965e+04      -2.699940787144e+04       4.512934348594e-03      -2.276678347265e+01      -2.699487959772e+04       1.168372430790e-02       1.168372430764e-02 
       3.684166570344e-01       4.169454536675e-03      -2.738376168589e+04      -2.752307944343e+04      -2.737991823242e+04       4.277118966494e-03      -2.158947054772e+01      -2.737532615161e+04       1.107314647952e-02       1.107314647930e-02 
       3.811880533895e-01       3.964913691285e-03      -2.787829333797e+04      -2.801877379906e+04      -2.787325135098e+04       4.067296741746e-03      -2.053523931865e+01      -2.786857654048e+04       1.052995419162e-02       1.052995419143e-02 
       3.945180639040e-01       3.777547512377e-03      -2.845441768041e+04      -2.859361576682e+04      -2.844579268486e+04       3.875092380670e-03      -1.956004881628e+01      -2.844102185992e+04       1.003232672201e-02       1.003232672184e-02 
       4.084582515891e-01       3.590302985263e-03      -2.899022055759e+04      -2.913059641849e+04      -2.898022985073e+04       3.683013038539e-03      -1.861229864746e+01      -2.897536940183e+04       9.535070111380e-03       9.535070111225e-03 
       4.230697937439e-01       3.399142786027e-03      -2.944313725609e+04      -2.958832151815e+04      -2.943515478154e+04       3.486916026602e-03      -1.762615535212e+01      -2.943021804392e+04       9.027337914485e-03       9.027337914347e-03 
       4.384259994145e-01       3.214581031905e-03      -2.990059694498e+04      -3.005023090247e+04      -2.989430542091e+04       3.297588147185e-03      -1.667771723308e+01      -2.988929168562e+04       8.537157212536e-03       8.537157212416e-03 
       4.546157043455e-01       3.044030590392e-03      -3.044515989474e+04      -3.059608772174e+04      -3.043756096201e+04       3.122633890209e-03      -1.577943059099e+01      -3.043245612319e+04       8.084225021845e-03       8.084225021739e-03 
       4.717479359469e-01       2.881100884765e-03      -3.102980362737e+04      -3.118167988944e+04      -3.102043599110e+04       2.955496667509e-03      -1.494108488489e+01      -3.101523340382e+04       7.651477284857e-03       7.651477284763e-03 
       4.899584588925e-01       2.717197159241e-03      -3.156706288954e+04      -3.172257666477e+04      -3.155836449181e+04       2.787361370251e-03      -1.410124930791e+01      -3.155307169415e+04       7.216280084129e-03       7.216280084047e-03 
       5.094191784047e-01       2.556554986750e-03      -3.210574576548e+04      -3.226512043989e+04      -3.209789573793e+04       2.622570457341e-03      -1.326212438497e+01      -3.209251246096e+04       6.789587552197e-03       6.789587552126e-03 
       5.303520151628e-01       2.403953393870e-03      -3.272221413585e+04      -3.288352137521e+04      -3.271327330667e+04       2.466028241073e-03      -1.248941925501e+01      -3.270778682980e+04       6.384295324227e-03       6.384295324166e-03 
       5.530500157411e-01       2.253115543139e-03      -3.335059856644e+04      -3.351479438884e+04      -3.334130810165e+04       2.311295559865e-03      -1.171096627242e+01      -3.333571630206e+04       5.983719541186e-03       5.983719541132e-03 
       5.779106306473e-01       2.102901933355e-03      -3.398764599106e+04      -3.415572299144e+04      -3.397879162765e+04       2.157202784897e-03      -1.093222681333e+01      -3.397309292066e+04       5.584753082549e-03       5.584753082503e-03 
       6.054903858632e-01       1.955638004146e-03      -3.469675154731e+04      -3.486774853018e+04      -3.468722132414e+04       2.006136130124e-03      -1.016953206243e+01      -3.468140381116e+04       5.193646913116e-03       5.193646913077e-03 
       6.365991657852e-01       1.807359505945e-03      -3.544576212915e+04      -3.562069900976e+04      -3.543622799536e+04       1.854029219512e-03      -9.387095805129e+00      -3.543028487121e+04       4.799906415596e-03       4.799906415564e-03 
       6.724723793801e-01       1.657669336895e-03      -3.627704201228e+04      -3.645593132321e+04      -3.626715533549e+04       1.700473370901e-03      -8.621210350306e+00      -3.626107286122e+04       4.402324007949e-03       4.402324007922e-03 
